Order_ID,Order_Date,Shipment_Date,Origin_Country,Destination_Country,Product_Category,Units_Sold,Unit_Price,Revenue,Shipping_Cost,Custom_Duty,Profit,Delivery_Days,Export_Mode,Customer_Type,Year,Month,Quarter
ORD00001,2022-08-17,2022-08-19,USA,Canada,Fashion,238,86.98,20701.24,812.0,1333.99,6887.82,2,Rail,B2B,2022,Aug,Q3
ORD00002,2022-03-03,2022-03-06,India,UK,Sports,626,32.74,20495.24,981.63,1209.08,6755.82,3,Sea,Retail,2022,Mar,Q1
ORD00003,2023-07-24,2023-08-07,India,Germany,Beauty,358,153.38,54910.04,2711.36,3613.61,24937.34,14,Rail,B2B,2023,Jul,Q3
ORD00004,2024-01-06,2024-01-21,China,Canada,Electronics,757,240.52,182073.64,7507.69,13717.01,83715.25,15,Road,Distributor,2024,Jan,Q1
ORD00005,2024-01-11,2024-01-22,India,USA,Electronics,687,129.39,88890.93,4981.88,2203.39,39941.39,11,Air,Retail,2024,Jan,Q1
ORD00006,2023-07-24,2023-08-02,USA,UAE,Fashion,389,190.53,74116.17,6693.86,4603.3,17973.96,9,Air,Distributor,2023,Jul,Q3
ORD00007,2022-12-17,2022-12-27,USA,UK,Fashion,483,202.14,97633.62,11623.98,5701.8,24941.29,10,Road,B2B,2022,Dec,Q4
ORD00008,2023-04-15,2023-04-30,India,UAE,Beauty,284,51.77,14702.68,1649.38,794.4,3211.25,15,Sea,Distributor,2023,Apr,Q2
ORD00009,2024-10-19,2024-10-27,USA,Japan,Fashion,281,87.02,24452.62,2373.1,1279.82,5538.72,8,Rail,Distributor,2024,Oct,Q4
ORD00010,2024-03-28,2024-04-04,India,Germany,Sports,515,63.64,32774.6,1122.22,871.11,11502.14,7,Rail,Distributor,2024,Mar,Q1
ORD00011,2022-05-11,2022-05-19,China,Japan,Sports,267,486.12,129794.04,13948.99,2685.29,33178.53,8,Road,Distributor,2022,May,Q2
ORD00012,2023-11-28,2023-12-01,China,Australia,Fashion,474,21.56,10219.44,970.73,645.67,1535.62,3,Sea,Distributor,2023,Nov,Q4
ORD00013,2022-08-06,2022-08-21,USA,Canada,Sports,633,115.48,73098.84,4652.91,2170.52,16125.96,15,Air,Distributor,2022,Aug,Q3
ORD00014,2023-10-26,2023-11-04,India,USA,Home,909,492.95,448091.55,45978.55,15399.62,175097.0,9,Air,B2B,2023,Oct,Q4
ORD00015,2024-09-22,2024-10-07,India,Singapore,Fashion,141,336.68,47471.88,5469.54,1419.77,14078.92,15,Rail,B2B,2024,Sep,Q3
ORD00016,2023-02-16,2023-03-01,China,Australia,Home,458,451.81,206928.98,14616.17,7216.51,98350.06,13,Air,Distributor,2023,Feb,Q1
ORD00017,2023-04-17,2023-04-28,India,China,Electronics,734,322.93,237030.62,11994.88,17617.35,51478.17,11,Air,Distributor,2023,Apr,Q2
ORD00018,2023-05-03,2023-05-09,USA,Japan,Fashion,562,83.51,46932.62,5359.53,2546.69,13598.25,6,Rail,Retail,2023,May,Q2
ORD00019,2023-01-25,2023-01-28,India,Australia,Home,443,217.33,96277.19,10373.42,2238.47,26280.57,3,Air,B2B,2023,Jan,Q1
ORD00020,2024-04-04,2024-04-17,China,USA,Fashion,206,111.3,22927.8,1613.55,1038.93,9188.27,13,Sea,B2B,2024,Apr,Q2
ORD00021,2024-06-26,2024-07-10,USA,China,Electronics,677,499.66,338269.82,35600.36,26432.33,46920.6,14,Sea,B2B,2024,Jun,Q2
ORD00022,2024-04-12,2024-04-21,China,UK,Beauty,934,48.14,44962.76,2882.45,3557.39,16960.54,9,Rail,Retail,2024,Apr,Q2
ORD00023,2024-05-16,2024-05-29,USA,Singapore,Beauty,168,111.15,18673.2,926.06,438.99,5717.3,13,Air,Distributor,2024,May,Q2
ORD00024,2023-10-05,2023-10-07,India,Japan,Sports,951,429.31,408273.81,18033.02,31701.13,185417.91,2,Sea,B2B,2023,Oct,Q4
ORD00025,2022-05-20,2022-06-01,India,Australia,Electronics,974,447.34,435709.16,22726.32,24256.43,133481.69,12,Rail,Distributor,2022,May,Q2
